location,origin_date,target_date,output_type_id,value,output_type,target
Kern,2024-09-30,2024-10-31,0,0.76417,cdf,WNV cases
Kern,2024-09-30,2024-10-31,1,0.76417,cdf,WNV cases
Kern,2024-09-30,2024-10-31,2,0.86656,cdf,WNV cases
Kern,2024-09-30,2024-10-31,3,0.9142,cdf,WNV cases
Kern,2024-09-30,2024-10-31,4,0.94183,cdf,WNV cases
Kern,2024-09-30,2024-10-31,5,0.95927,cdf,WNV cases
Kern,2024-09-30,2024-10-31,6,0.97086,cdf,WNV cases
Kern,2024-09-30,2024-10-31,8,0.98448,cdf,WNV cases
Kern,2024-09-30,2024-10-31,10,0.99144,cdf,WNV cases
Kern,2024-09-30,2024-10-31,15,0.99721,cdf,WNV cases
Kern,2024-09-30,2024-10-31,200,1.0,cdf,WNV cases
Orange,2024-09-30,2024-10-31,0,0.61919,cdf,WNV cases
Orange,2024-09-30,2024-10-31,1,0.80789,cdf,WNV cases
Orange,2024-09-30,2024-10-31,2,0.87421,cdf,WNV cases
Orange,2024-09-30,2024-10-31,3,0.91141,cdf,WNV cases
Orange,2024-09-30,2024-10-31,4,0.93527,cdf,WNV cases
Orange,2024-09-30,2024-10-31,5,0.95167,cdf,WNV cases
Orange,2024-09-30,2024-10-31,6,0.96324,cdf,WNV cases
Orange,2024-09-30,2024-10-31,8,0.97983,cdf,WNV cases
Orange,2024-09-30,2024-10-31,10,0.98756,cdf,WNV cases
Orange,2024-09-30,2024-10-31,15,0.99628,cdf,WNV cases
Orange,2024-09-30,2024-10-31,200,1.0,cdf,WNV cases
Tulare,2024-09-30,2024-10-31,0,0.82798,cdf,WNV cases
Tulare,2024-09-30,2024-10-31,1,0.82798,cdf,WNV cases
Tulare,2024-09-30,2024-10-31,2,0.82798,cdf,WNV cases
Tulare,2024-09-30,2024-10-31,3,0.92178,cdf,WNV cases
Tulare,2024-09-30,2024-10-31,4,0.92178,cdf,WNV cases
Tulare,2024-09-30,2024-10-31,5,0.95875,cdf,WNV cases
Tulare,2024-09-30,2024-10-31,6,0.95875,cdf,WNV cases
Tulare,2024-09-30,2024-10-31,8,0.97678,cdf,WNV cases
Tulare,2024-09-30,2024-10-31,10,0.98641,cdf,WNV cases
Tulare,2024-09-30,2024-10-31,15,0.99692,cdf,WNV cases
Tulare,2024-09-30,2024-10-31,200,1.0,cdf,WNV cases
Los Angeles,2024-09-30,2024-10-31,0,0.47409,cdf,WNV cases
Los Angeles,2024-09-30,2024-10-31,1,0.73623,cdf,WNV cases
Los Angeles,2024-09-30,2024-10-31,2,0.8174,cdf,WNV cases
Los Angeles,2024-09-30,2024-10-31,3,0.86298,cdf,WNV cases
Los Angeles,2024-09-30,2024-10-31,4,0.89344,cdf,WNV cases
Los Angeles,2024-09-30,2024-10-31,5,0.91335,cdf,WNV cases
Los Angeles,2024-09-30,2024-10-31,6,0.93028,cdf,WNV cases
Los Angeles,2024-09-30,2024-10-31,8,0.95366,cdf,WNV cases
Los Angeles,2024-09-30,2024-10-31,10,0.96794,cdf,WNV cases
Los Angeles,2024-09-30,2024-10-31,15,0.98752,cdf,WNV cases
Los Angeles,2024-09-30,2024-10-31,200,1.0,cdf,WNV cases
Sacramento,2024-09-30,2024-10-31,0,0.68912,cdf,WNV cases
Sacramento,2024-09-30,2024-10-31,1,0.7922,cdf,WNV cases
Sacramento,2024-09-30,2024-10-31,2,0.88027,cdf,WNV cases
Sacramento,2024-09-30,2024-10-31,3,0.90474,cdf,WNV cases
Sacramento,2024-09-30,2024-10-31,4,0.9368,cdf,WNV cases
Sacramento,2024-09-30,2024-10-31,5,0.94766,cdf,WNV cases
Sacramento,2024-09-30,2024-10-31,6,0.96344,cdf,WNV cases
Sacramento,2024-09-30,2024-10-31,8,0.9779,cdf,WNV cases
Sacramento,2024-09-30,2024-10-31,10,0.98627,cdf,WNV cases
Sacramento,2024-09-30,2024-10-31,15,0.99576,cdf,WNV cases
Sacramento,2024-09-30,2024-10-31,200,1.0,cdf,WNV cases
Merced,2024-09-30,2024-11-30,0,0.87273,cdf,WNV cases
Merced,2024-09-30,2024-11-30,1,0.87273,cdf,WNV cases
Merced,2024-09-30,2024-11-30,2,0.87273,cdf,WNV cases
Merced,2024-09-30,2024-11-30,3,0.87273,cdf,WNV cases
Merced,2024-09-30,2024-11-30,4,0.95398,cdf,WNV cases
Merced,2024-09-30,2024-11-30,5,0.95398,cdf,WNV cases
Merced,2024-09-30,2024-11-30,6,0.95398,cdf,WNV cases
Merced,2024-09-30,2024-11-30,8,0.98044,cdf,WNV cases
Merced,2024-09-30,2024-11-30,10,0.98044,cdf,WNV cases
Merced,2024-09-30,2024-11-30,15,0.99577,cdf,WNV cases
Merced,2024-09-30,2024-11-30,200,1.0,cdf,WNV cases
Placer,2024-09-30,2024-11-30,0,0.84139,cdf,WNV cases
Placer,2024-09-30,2024-11-30,1,0.84139,cdf,WNV cases
Placer,2024-09-30,2024-11-30,2,0.84139,cdf,WNV cases
Placer,2024-09-30,2024-11-30,3,0.93214,cdf,WNV cases
Placer,2024-09-30,2024-11-30,4,0.93214,cdf,WNV cases
Placer,2024-09-30,2024-11-30,5,0.96612,cdf,WNV cases
Placer,2024-09-30,2024-11-30,6,0.96612,cdf,WNV cases
Placer,2024-09-30,2024-11-30,8,0.98196,cdf,WNV cases
Placer,2024-09-30,2024-11-30,10,0.98999,cdf,WNV cases
Placer,2024-09-30,2024-11-30,15,0.99673,cdf,WNV cases
Placer,2024-09-30,2024-11-30,200,1.0,cdf,WNV cases
Fresno,2024-09-30,2024-11-30,0,0.75286,cdf,WNV cases
Fresno,2024-09-30,2024-11-30,1,0.8559,cdf,WNV cases
Fresno,2024-09-30,2024-11-30,2,0.9051,cdf,WNV cases
Fresno,2024-09-30,2024-11-30,3,0.93388,cdf,WNV cases
Fresno,2024-09-30,2024-11-30,4,0.95258,cdf,WNV cases
Fresno,2024-09-30,2024-11-30,5,0.9652,cdf,WNV cases
Fresno,2024-09-30,2024-11-30,6,0.97417,cdf,WNV cases
Fresno,2024-09-30,2024-11-30,8,0.98524,cdf,WNV cases
Fresno,2024-09-30,2024-11-30,10,0.99135,cdf,WNV cases
Fresno,2024-09-30,2024-11-30,15,0.99755,cdf,WNV cases
